oid,email,pid,quantity,status
1,jialer.yoo.2021@scis.smu.edu.sg,33,3,Completed
2,jialer.yoo.2021@scis.smu.edu.sg,7,4,Processing
3,jialer.yoo.2021@scis.smu.edu.sg,65,3,New
4,jialer.yoo.2021@scis.smu.edu.sg,60,1,New
5,jialer.yoo.2021@scis.smu.edu.sg,50,10,New
6,jialer.yoo.2021@scis.smu.edu.sg,35,9,New
7,jialer.yoo.2021@scis.smu.edu.sg,52,5,New
8,jialer.yoo.2021@scis.smu.edu.sg,21,4,New
9,jialer.yoo.2021@scis.smu.edu.sg,19,8,New
10,jialer.yoo.2021@scis.smu.edu.sg,44,1,New
11,jialer.yoo.2021@scis.smu.edu.sg,57,3,New
12,jialer.yoo.2021@scis.smu.edu.sg,60,6,New
13,jialer.yoo.2021@scis.smu.edu.sg,46,2,New
14,jialer.yoo.2021@scis.smu.edu.sg,42,3,New
15,jialer.yoo.2021@scis.smu.edu.sg,36,3,New
16,jialer.yoo.2021@scis.smu.edu.sg,28,6,New
17,jialer.yoo.2021@scis.smu.edu.sg,41,1,New
18,jialer.yoo.2021@scis.smu.edu.sg,24,3,New
19,jialer.yoo.2021@scis.smu.edu.sg,30,6,New
20,jialer.yoo.2021@scis.smu.edu.sg,8,3,New
21,jialer.yoo.2021@scis.smu.edu.sg,12,4,New
22,jialer.yoo.2021@scis.smu.edu.sg,25,2,New
23,jialer.yoo.2021@scis.smu.edu.sg,7,2,New
24,jialer.yoo.2021@scis.smu.edu.sg,46,3,New
25,jialer.yoo.2021@scis.smu.edu.sg,20,9,New
26,jialer.yoo.2021@scis.smu.edu.sg,21,9,New
27,jialer.yoo.2021@scis.smu.edu.sg,12,6,New
28,jialer.yoo.2021@scis.smu.edu.sg,28,6,New
29,jialer.yoo.2021@scis.smu.edu.sg,26,2,New
30,jialer.yoo.2021@scis.smu.edu.sg,52,10,New
31,jialer.yoo.2021@scis.smu.edu.sg,18,1,New
32,jialer.yoo.2021@scis.smu.edu.sg,25,8,New
33,jialer.yoo.2021@scis.smu.edu.sg,51,3,New
34,jialer.yoo.2021@scis.smu.edu.sg,1,9,New
35,jialer.yoo.2021@scis.smu.edu.sg,22,8,New
36,jialer.yoo.2021@scis.smu.edu.sg,57,9,New
37,jialer.yoo.2021@scis.smu.edu.sg,10,2,New
38,jialer.yoo.2021@scis.smu.edu.sg,18,10,New
39,jialer.yoo.2021@scis.smu.edu.sg,11,10,New
40,jialer.yoo.2021@scis.smu.edu.sg,3,2,New
41,jialer.yoo.2021@scis.smu.edu.sg,52,5,New
42,jialer.yoo.2021@scis.smu.edu.sg,46,5,New
43,jialer.yoo.2021@scis.smu.edu.sg,43,7,New
44,jialer.yoo.2021@scis.smu.edu.sg,39,5,New
45,jialer.yoo.2021@scis.smu.edu.sg,13,6,New
46,jialer.yoo.2021@scis.smu.edu.sg,28,9,New
47,jialer.yoo.2021@scis.smu.edu.sg,10,1,New
48,jialer.yoo.2021@scis.smu.edu.sg,17,4,New
49,jialer.yoo.2021@scis.smu.edu.sg,63,2,New
50,jialer.yoo.2021@scis.smu.edu.sg,37,9,New
